username,utterance,gold_reference_response,emotion_label,risk_level,domain
Varun,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Aditya,"Hey, Everything feels completely numb. I don't enjoy the games I used to play at all. Please.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Riya,"Bro, I honestly don't see the point anymore. Waking up is just exhausting. Help me.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Rahul,"I swear, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Aniverthy,"Honestly, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Neha,"Right now, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Varun,"I swear, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Bharath,"My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Priya,I just feel really peaceful today. I sat in the sun for an hour. It sucks.,That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.,joy,L0,General Wellness
Neha,"Right now, I saw my ex with someone else on IG and it completely ruined my week. What do I do?",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Kavya,Idk but I feel like a burden to all my friends. They'd be better off without me. Im so tired.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Kavya,I saw my ex with someone else on IG and it completely ruined my week. What do I do?,It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Chandana,"Right now, I honestly don't see the point anymore. Waking up is just exhausting. Please.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Priya,"Honestly, I just lie in bed staring at the ceiling. I have zero energy to even eat.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Aarav,"I swear, I feel like a burden to all my friends. They'd be better off without me. Im so tired.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Aarav,"Idk but My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Kavya,"Hey, My partner and I keep arguing about the exact same things. I'm so frustrated. Help me.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Sneha,"Hey, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Arjun,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Neha,"Right now, My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Riya,"I swear, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Chandana,"I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Neha,"Honestly, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Aditya,"Right now, I feel like a burden to all my friends. They'd be better off without me. What do I do?","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Rahul,My best friend ghosted me and I have no idea what I did wrong. Please.,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Arjun,I have three assignments due at midnight and I haven't started. I'm so cooked.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Dhanushree.K,"Honestly, I have three assignments due at midnight and I haven't started. I'm so cooked.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Varun,"I swear, I can't focus on this textbook at all, my brain is just static. Help me.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song.",neutral,L0,Academic Stress
Rahul,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Neha,"Right now, I honestly don't see the point anymore. Waking up is just exhausting. Help me.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Chandana,"Idk but I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Kavya,"Bro, I got a D on my midterm and my parents are going to kill me. I'm a failure. Please.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Sneha,Idk but I'm trying to fix my sleep schedule. I went to bed at 11 PM. Im so tired.,Excellent work! Consistency is key for regulating your sleep cycle. Avoiding screens an hour before bed will help you maintain this.,joy,L0,General Wellness
Sneha,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. Please.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Chandana,"Hey, My best friend ghosted me and I have no idea what I did wrong. Please.","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Arjun,"I swear, My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Dhanushree.K,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep. Please.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Vikram,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Aarav,"Hey, I feel like a burden to all my friends. They'd be better off without me.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Neha,"Right now, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Aniverthy,"Honestly, My parents just don't understand my career choices, they yell at me every time. It sucks.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Dhanushree.K,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Im so tired.,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Priya,"Hey, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Arjun,Idk but My partner and I keep arguing about the exact same things. I'm so frustrated.,Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Kavya,Idk but I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.,"Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Sneha,"I swear, I just feel so tense all the time, like something terrible is about to happen. Im so tired.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Varun,"I swear, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Please.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Aniverthy,I don't know why but I'm just terrified of leaving my room today.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Dhanushree.K,"My chest is so tight, I feel like everyone is judging me and I can't breathe. Im so tired.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Neha,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all. Help me.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Vikram,Idk but I saw my ex with someone else on IG and it completely ruined my week. It sucks.,It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Aarav,"Honestly, Just doing a quick check-in. Feeling okay, nothing crazy. It sucks.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Priya,"I swear, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Priya,"Right now, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Varun,"I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Kavya,"Right now, My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Vikram,"Hey, I got a D on my midterm and my parents are going to kill me. I'm a failure. Please.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Aditya,"Bro, I literally cannot breathe right now, I think I'm dying. It sucks.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Vikram,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Neha,"My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Chandana,Idk but My partner and I keep arguing about the exact same things. I'm so frustrated. What do I do?,Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Varun,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting. What do I do?",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Arjun,"Right now, I just lie in bed staring at the ceiling. I have zero energy to even eat. What do I do?","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Aniverthy,"Honestly, Just feeling really low today, not sure why. Just sad. Im so tired.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Aditya,I have three assignments due at midnight and I haven't started. I'm so cooked. Im so tired.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Aditya,"Idk but My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Vikram,Idk but I have three assignments due at midnight and I haven't started. I'm so cooked.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Aditya,"I swear, I just feel really peaceful today. I sat in the sun for an hour. It sucks.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.,joy,L0,General Wellness
Priya,"Honestly, I have three assignments due at midnight and I haven't started. I'm so cooked. It sucks.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Vikram,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting. It sucks.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Chandana,"Idk but I can't focus on this textbook at all, my brain is just static. It sucks.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song.",neutral,L0,Academic Stress
Sneha,"Bro, I can't stop shaking, everything feels like it's spinning out of control right now. Im so tired.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Aniverthy,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Im so tired.,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Varun,Idk but I actually managed to go to the gym today and eat a healthy meal! Help me.,That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?,joy,L0,General Wellness
Dhanushree.K,"Bro, My chest is so tight, I feel like everyone is judging me and I can't breathe. Help me.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Aditya,"Honestly, I just lie in bed staring at the ceiling. I have zero energy to even eat.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Aniverthy,"Hey, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Priya,"Honestly, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Arjun,Idk but I honestly don't see the point anymore. Waking up is just exhausting. It sucks.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Aniverthy,"I swear, I have this presentation tomorrow and my mind is racing. I can't sleep. What do I do?","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Arjun,"Right now, My chest is so tight, I feel like everyone is judging me and I can't breathe. Im so tired.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Riya,"Idk but I literally cannot breathe right now, I think I'm dying. Help me.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Riya,I have three assignments due at midnight and I haven't started. I'm so cooked. Please.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Varun,"If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Sneha,"Honestly, I just feel really peaceful today. I sat in the sun for an hour. Help me.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.,joy,L0,General Wellness
Vikram,"Bro, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Please.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Riya,"Hey, I don't know why but I'm just terrified of leaving my room today. What do I do?","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Priya,"Hey, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Sneha,Idk but Everything feels completely numb. I don't enjoy the games I used to play at all. It sucks.,Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Priya,"My parents just don't understand my career choices, they yell at me every time. Help me.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Priya,"Idk but Just feeling really low today, not sure why. Just sad. Help me.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Arjun,"Hey, I actually managed to go to the gym today and eat a healthy meal!",That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?,joy,L0,General Wellness
Aniverthy,"Right now, I feel like a burden to all my friends. They'd be better off without me. Im so tired.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Sneha,"Right now, I feel like a burden to all my friends. They'd be better off without me.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Priya,"Hey, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Dhanushree.K,"Just feeling really low today, not sure why. Just sad. What do I do?","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Aditya,"Bro, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Aditya,I honestly don't see the point anymore. Waking up is just exhausting.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Riya,"Idk but I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Vikram,I just lie in bed staring at the ceiling. I have zero energy to even eat. Please.,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Aarav,"Honestly, My partner and I keep arguing about the exact same things. I'm so frustrated. Im so tired.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Aditya,"Right now, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Arjun,"Idk but I just feel so tense all the time, like something terrible is about to happen. What do I do?",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Sneha,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Im so tired.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Riya,"I swear, Just doing a quick check-in. Feeling okay, nothing crazy. It sucks.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Sneha,"Bro, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Rahul,Idk but I got a D on my midterm and my parents are going to kill me. I'm a failure. Help me.,One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Dhanushree.K,Idk but I don't know why but I'm just terrified of leaving my room today. Please.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Arjun,"I swear, I just lie in bed staring at the ceiling. I have zero energy to even eat. Help me.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Riya,Idk but I honestly don't see the point anymore. Waking up is just exhausting.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Rahul,"Right now, I saw my ex with someone else on IG and it completely ruined my week. What do I do?",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Priya,I just lie in bed staring at the ceiling. I have zero energy to even eat.,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Aniverthy,Idk but My partner and I keep arguing about the exact same things. I'm so frustrated. What do I do?,Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Kavya,"Bro, I don't know why but I'm just terrified of leaving my room today. Please.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Vikram,"My chest is so tight, I feel like everyone is judging me and I can't breathe. Im so tired.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Kavya,"Right now, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
