Username,Domain,Emotion Label,Risk Level,User Utterance,Gold Reference Response
Varun,Academic Stress,neutral,L0,"I swear, I can't focus on this textbook at all, my brain is just static. Help me.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song."
Rahul,Academic Stress,anger,L1,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Neha,Depression,sadness,L2,"Right now, I honestly don't see the point anymore. Waking up is just exhausting. Help me.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Chandana,Anxiety,anxiety,L0,"Idk but I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Kavya,Academic Stress,sadness,L1,"Bro, I got a D on my midterm and my parents are going to kill me. I'm a failure. Please.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Sneha,General Wellness,joy,L0,Idk but I'm trying to fix my sleep schedule. I went to bed at 11 PM. Im so tired.,Excellent work! Consistency is key for regulating your sleep cycle. Avoiding screens an hour before bed will help you maintain this.
Sneha,Anxiety,fear,L1,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. Please.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Chandana,Relationship,sadness,L1,"Hey, My best friend ghosted me and I have no idea what I did wrong. Please.","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Arjun,Relationship,anger,L0,"I swear, My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Dhanushree.K,Anxiety,anxiety,L0,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep. Please.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Vikram,Anxiety,anxiety,L0,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Aarav,Depression,sadness,L2,"Hey, I feel like a burden to all my friends. They'd be better off without me.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Neha,Depression,sadness,L2,"Right now, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Aniverthy,Relationship,anger,L0,"Honestly, My parents just don't understand my career choices, they yell at me every time. It sucks.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Dhanushree.K,Academic Stress,anger,L1,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Im so tired.,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Priya,Depression,neutral,L1,"Hey, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Arjun,Relationship,anger,L0,Idk but My partner and I keep arguing about the exact same things. I'm so frustrated.,Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Kavya,Anxiety,anxiety,L0,Idk but I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.,"Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Sneha,Anxiety,anxiety,L0,"I swear, I just feel so tense all the time, like something terrible is about to happen. Im so tired.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Varun,Academic Stress,anxiety,L1,"I swear, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Please.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Aniverthy,Anxiety,fear,L1,I don't know why but I'm just terrified of leaving my room today.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Dhanushree.K,Anxiety,anxiety,L1,"My chest is so tight, I feel like everyone is judging me and I can't breathe. Im so tired.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Neha,Depression,sadness,L1,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all. Help me.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Vikram,Relationship,sadness,L1,Idk but I saw my ex with someone else on IG and it completely ruined my week. It sucks.,It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Aarav,General Wellness,neutral,L0,"Honestly, Just doing a quick check-in. Feeling okay, nothing crazy. It sucks.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Priya,Academic Stress,anger,L1,"I swear, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Priya,Academic Stress,anxiety,L0,"Right now, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Varun,Anxiety,anxiety,L0,"I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Kavya,Anxiety,anxiety,L1,"Right now, My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Vikram,Academic Stress,sadness,L1,"Hey, I got a D on my midterm and my parents are going to kill me. I'm a failure. Please.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Aditya,Anxiety,fear,L2,"Bro, I literally cannot breathe right now, I think I'm dying. It sucks.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Vikram,Academic Stress,anger,L1,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Neha,Anxiety,anxiety,L1,"My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Chandana,Relationship,anger,L0,Idk but My partner and I keep arguing about the exact same things. I'm so frustrated. What do I do?,Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Varun,Depression,sadness,L2,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting. What do I do?",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Arjun,Depression,neutral,L1,"Right now, I just lie in bed staring at the ceiling. I have zero energy to even eat. What do I do?","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Aniverthy,Depression,sadness,L0,"Honestly, Just feeling really low today, not sure why. Just sad. Im so tired.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Aditya,Academic Stress,anxiety,L0,I have three assignments due at midnight and I haven't started. I'm so cooked. Im so tired.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Aditya,Relationship,anger,L0,"Idk but My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Vikram,Academic Stress,anxiety,L0,Idk but I have three assignments due at midnight and I haven't started. I'm so cooked.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Aditya,General Wellness,joy,L0,"I swear, I just feel really peaceful today. I sat in the sun for an hour. It sucks.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.
Priya,Academic Stress,anxiety,L0,"Honestly, I have three assignments due at midnight and I haven't started. I'm so cooked. It sucks.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Vikram,Depression,sadness,L2,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting. It sucks.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Chandana,Academic Stress,neutral,L0,"Idk but I can't focus on this textbook at all, my brain is just static. It sucks.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song."
Sneha,Anxiety,fear,L1,"Bro, I can't stop shaking, everything feels like it's spinning out of control right now. Im so tired.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Aniverthy,Academic Stress,anger,L1,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Im so tired.,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Varun,General Wellness,joy,L0,Idk but I actually managed to go to the gym today and eat a healthy meal! Help me.,That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?
Dhanushree.K,Anxiety,anxiety,L1,"Bro, My chest is so tight, I feel like everyone is judging me and I can't breathe. Help me.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Aditya,Depression,neutral,L1,"Honestly, I just lie in bed staring at the ceiling. I have zero energy to even eat.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Aniverthy,Academic Stress,anxiety,L0,"Hey, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Priya,Depression,neutral,L1,"Honestly, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Arjun,Depression,sadness,L2,Idk but I honestly don't see the point anymore. Waking up is just exhausting. It sucks.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Aniverthy,Anxiety,anxiety,L0,"I swear, I have this presentation tomorrow and my mind is racing. I can't sleep. What do I do?","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Arjun,Anxiety,anxiety,L1,"Right now, My chest is so tight, I feel like everyone is judging me and I can't breathe. Im so tired.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Riya,Anxiety,fear,L2,"Idk but I literally cannot breathe right now, I think I'm dying. Help me.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Riya,Academic Stress,anxiety,L0,I have three assignments due at midnight and I haven't started. I'm so cooked. Please.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Varun,Academic Stress,anxiety,L1,"If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Sneha,General Wellness,joy,L0,"Honestly, I just feel really peaceful today. I sat in the sun for an hour. Help me.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.
Vikram,Academic Stress,anxiety,L1,"Bro, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Please.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Riya,Anxiety,fear,L1,"Hey, I don't know why but I'm just terrified of leaving my room today. What do I do?","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Priya,Depression,sadness,L2,"Hey, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Sneha,Depression,sadness,L1,Idk but Everything feels completely numb. I don't enjoy the games I used to play at all. It sucks.,Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Priya,Relationship,anger,L0,"My parents just don't understand my career choices, they yell at me every time. Help me.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Priya,Depression,sadness,L0,"Idk but Just feeling really low today, not sure why. Just sad. Help me.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Arjun,General Wellness,joy,L0,"Hey, I actually managed to go to the gym today and eat a healthy meal!",That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?
Aniverthy,Depression,sadness,L2,"Right now, I feel like a burden to all my friends. They'd be better off without me. Im so tired.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Sneha,Depression,sadness,L2,"Right now, I feel like a burden to all my friends. They'd be better off without me.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Priya,Anxiety,anxiety,L0,"Hey, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Dhanushree.K,Depression,sadness,L0,"Just feeling really low today, not sure why. Just sad. What do I do?","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Aditya,Depression,sadness,L2,"Bro, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Aditya,Depression,sadness,L2,I honestly don't see the point anymore. Waking up is just exhausting.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Riya,Anxiety,anxiety,L0,"Idk but I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Vikram,Depression,neutral,L1,I just lie in bed staring at the ceiling. I have zero energy to even eat. Please.,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Aarav,Relationship,anger,L0,"Honestly, My partner and I keep arguing about the exact same things. I'm so frustrated. Im so tired.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Aditya,Anxiety,anxiety,L0,"Right now, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Arjun,Anxiety,anxiety,L0,"Idk but I just feel so tense all the time, like something terrible is about to happen. What do I do?",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Sneha,Academic Stress,anger,L1,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Im so tired.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Riya,General Wellness,neutral,L0,"I swear, Just doing a quick check-in. Feeling okay, nothing crazy. It sucks.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Sneha,Depression,sadness,L2,"Bro, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Rahul,Academic Stress,sadness,L1,Idk but I got a D on my midterm and my parents are going to kill me. I'm a failure. Help me.,One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Dhanushree.K,Anxiety,fear,L1,Idk but I don't know why but I'm just terrified of leaving my room today. Please.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Arjun,Depression,neutral,L1,"I swear, I just lie in bed staring at the ceiling. I have zero energy to even eat. Help me.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Riya,Depression,sadness,L2,Idk but I honestly don't see the point anymore. Waking up is just exhausting.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Rahul,Relationship,sadness,L1,"Right now, I saw my ex with someone else on IG and it completely ruined my week. What do I do?",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Priya,Depression,neutral,L1,I just lie in bed staring at the ceiling. I have zero energy to even eat.,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Aniverthy,Relationship,anger,L0,Idk but My partner and I keep arguing about the exact same things. I'm so frustrated. What do I do?,Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Kavya,Anxiety,fear,L1,"Bro, I don't know why but I'm just terrified of leaving my room today. Please.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Vikram,Anxiety,anxiety,L1,"My chest is so tight, I feel like everyone is judging me and I can't breathe. Im so tired.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
